
name,Damage Dice,Damage Type,Core Attribute, APC Base Value, APC Add stat,APC Subtract Stat, APC Minimum,Range,Tags,Type,[0]Special Feature Tag,[0]Special Feature Damage Dice,[0]Action Point Adjustment Base Value, [0]Action Point Adjustment Minimum, [0]Adjust Armor Rating,[0]Adjust Range,[1]Special Feature Tag,[1]Special Feature Damage Dice,[1]Action Point Adjustment Base Value, [1]Action Point Adjustment Minimum, [1]Adjust Armor Rating,[1]Adjust Range,Cost,Adjusted Reach,Ammunition Blerb
"Battle Axe","1d8", "","STR",5,"","STR",3,"Melee","Hand-and-a-Half","Axe","One Handed","1d8", 0, 0,0,"","Two Handed","1d10", 0,0,0,"",35,
"Greataxe","2d8", "","STR",8,"","STR",4,"Melee","Two-Handed, Unwieldy","Axe","","","", 0,0,0,"",,,,,60,
"Handaxe","1d6", "sharp","STR",3,"","STR",2,"Melee","One-Handed, Light","Axe","","","", 0,0,0,"",,,,,20,
"Hatchet","1d4", "sharp","STR",0,"STR","",2,"Thrown 20 ft","One-Handed","Axe","","","", 0,0,0,"",,,,,15,
"Poleaxe","1d6", "sharp","STR",4,"","STR",3,"Reach 10 ft","Two-Handed","Axe","","","", 0,0,0,"",,,,,45,
"Throwing Axe","1d4", "sharp","STR",0,"STR","",2,"Thrown 30 ft","One-Handed, Light","Axe","","","", 0,0,0,"",,,,,20,
"War Axe","1d8", "sharp","STR",5,"","STR",3,"Melee","Hand-and-a-Half","Axe","One Handed","1d8", 0,0,0,"","Two Handed","1d8", -1,2,0,"",40,
"Wood Splitter","1d8", "sharp","STR",0,"STR","",3,"Melee","Two-Handed","Axe","","", 0,0,10,
"Improvised Small Blade","1d4", "sharp","DEX",0,"DEX","",3,"Melee","One-Handed, Light, Concealed","Blade (small)","","","", 0,0,0,"",,,,,0,
"Dagger","1d4", "sharp","DEX",0,"DEX","",2,"Thrown 20 ft","One-Handed, Light, Concealed","Blade (small)","","","", 0,0,0,"",,,,,10,
"Dirk","1d4", "sharp","STR",0,"STR","",2,"Melee","One-Handed, Light, Concealed","Blade (small)","","","", 0,0,0,"",,,,,12,
"Kama","1d4", "sharp","DEX",0,"DEX","",2,"Melee","One-Handed, Light","Blade (small)","","","", 0,0,0,"",,,,,20,
"Knife","1d4", "sharp","INT",0,"INT","",2,"Thrown 20 ft","One-Handed, Light, Concealed","Blade (small)","","","", 0,0,0,"",,,,,6,
